"df_names","df_long","df_lat"
"Gas station","103.9000123","17.9182724"
"Gas station","103.897997","18.0614537"
"Gas station","104.2114939","17.5476661"
"Gas station","103.8755076","18.0237708"
"Gas station","103.8008734","17.8957615"
"Gas station","104.3224756","17.5373046"
"Gas station","104.3081069","17.5730992"
"Gas station","104.1247751","17.6368123"
"Gas station","103.9620928","18.0502408"
"Gas station","104.0862371","17.5473767"
"Gas station","104.2657227","17.624905"
"Gas station","104.3294655","17.7058985"
"Gas station","104.2757059","17.6216508"
"Gas station","103.9813793","18.0359417"
"Gas station","103.8186458","18.0173531"
"Gas station","104.1643935","18.0346346"
"Shell","103.753943","17.642436"
"Gas station","103.7879442","17.8846182"
"Gas station","104.4234093","17.5233541"
"Gas station","104.4382307","17.5857778"
"Gas station","103.7782246","17.9421448"
"Gas station","104.0247523","17.9793194"
"Gas station","103.8743241","18.0139108"
"Gas station","104.3034459","17.756722"
"Gas station","104.3986918","17.5752896"
"Gas station","104.3468677","17.63341"
"Gas station","104.3154167","17.6561387"
"Gas station","104.2588884","17.7091262"
"Gas station","104.0488982","17.957487"
"PTT gas station","103.7224824","18.0424617"
"Gasoline ปั้มน้ำมัน","104.0702157","17.5746968"
"Gas station","103.7328763","18.0579805"
"Gas station","104.1401851","18.0316161"
"Gas station","104.1485564","17.7103427"
"LP Gas station","104.3203485","17.9805713"
"Gas station","103.8931311","18.0088928"
"Gas station","104.4189784","17.6151491"
"Gas station","104.4426101","17.6463117"
"Gas station","103.9497034","17.8709436"
"Gas station","104.1817402","17.8588281"
"ปั๊มน้ำมันบางจาก - สหกรณ์การเกษตร พังโคน จำกัด","103.722053","17.3901639"
"Gas station","104.2169684","17.3817919"
"Gas station","104.213901","17.3818966"
"Shell","104.09223","17.194008"
"Gas station","104.2114939","17.5476661"
"Gas station","104.1006998","17.4781875"
"Gas station","104.0991445","17.5156304"
"Gas station","104.1247751","17.6368123"
"Gas station","104.0862371","17.5473767"
"Gas station","104.2657227","17.624905"
"Gas station","104.2757059","17.6216508"
"Caltex gas station","104.0975669","17.1753297"
"Shell","103.753943","17.642436"
"Gas station","104.2588884","17.7091262"
"Gasoline ปั้มน้ำมัน","104.0702157","17.5746968"
"Bangchak Gas Station","103.722051","17.390165"
"PT Akat Am nuai","103.979003","17.510796"
"Gas station","104.1485564","17.7103427"
"Independent Gas Station","103.5797621","17.2648411"
"Gas station","104.0942207","17.7742568"
"ปั๊มน้ำมันบางจาก - สหกรณ์การเกษตร พังโคน จำกัด","103.722053","17.3901639"
"Gas station","103.9000123","17.9182724"
"Gas station","104.2169684","17.3817919"
"Gas station","104.213901","17.3818966"
"Gas station","103.897997","18.0614537"
"Gas station","104.2114939","17.5476661"
"Gas station","104.1006998","17.4781875"
"Gas station","103.8755076","18.0237708"
"Gas station","104.0991445","17.5156304"
"Gas station","103.8008734","17.8957615"
