Reference	Country	Site	Coordinate_origin	Lat	Lon	Elevation	Temperature	Rainfall	Clay	Field_type	Field_size	Crop_type	Species	Detailed_species_information	Planting_date	Harvest_year	Harvest_date	Age	Rotation	Density	Yield	Unit	Error	Error_type	Yield_type	Yield_type_Index	Yield_estimation	Yield_origin	Management	Irrigation	Irrigation_flag	Fertilization_flag	Fertilizing_frequency	Nitrogen	Phosphorus	Potassium	Calcium	Magnesium	Boron	Other_fertilization
Stape et al., 2010	Brazil	Aracruz, ES	reported site	-19.8166666667	-40.0833333333	12.0	23.6	2752.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		18.3	ton DM/ha/yr	0.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	77.0	54.0	89.0	585.0	40.0	1.0	
Stape et al., 2010	Brazil	Aracruz, ES	reported site	-19.8166666667	-40.0833333333	12.0	23.6	2752.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		19.1	ton DM/ha/yr	1.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	967.0	374.0	753.0	634.0	40.0	6.0	
Stape et al., 2010	Brazil	Aracruz, ES	reported site	-19.8166666667	-40.0833333333	12.0	23.6	2752.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		28.1	ton DM/ha/yr	1.2	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		701	yes	yes	total in the 6-year rotation	967.0	374.0	753.0	634.0	40.0	6.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		21.3	ton DM/ha/yr	1.8	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	no								
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		24.2	ton DM/ha/yr	2.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	86.0	40.0	171.0	705.0	120.0	3.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		24.9	ton DM/ha/yr	2.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	732.0	145.0	570.0	918.0	180.0	8.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		26.4	ton DM/ha/yr	2.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1116	yes	yes	total in the 6-year rotation	86.0	40.0	171.0	705.0	120.0	3.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		26.2	ton DM/ha/yr	2.8	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1116	yes	yes	total in the 6-year rotation	732.0	145.0	570.0	918.0	180.0	8.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		25.6	ton DM/ha/yr	1.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	33.0	44.0	27.0			2.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		26.5	ton DM/ha/yr	1.0	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	640.0	238.0	498.0	996.0	180.0	5.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		34.3	ton DM/ha/yr	1.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		796	yes	yes	total in the 6-year rotation	33.0	44.0	27.0			2.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		31.7	ton DM/ha/yr	1.7	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		796	yes	yes	total in the 6-year rotation	640.0	238.0	498.0	996.0	180.0	5.0	
Stape et al., 2010	Brazil	Teixeira de. Freitas, BA	reported site	-18.0333333333	-39.8666666667	84.0	23.1	2921.0	21.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-12	2009		5.7	6.0		21.4	ton DM/ha/yr	0.4	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	52.0	44.0	66.0	112.0		2.0	
Stape et al., 2010	Brazil	Teixeira de. Freitas, BA	reported site	-18.0333333333	-39.8666666667	84.0	23.1	2921.0	21.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-12	2009		5.7	6.0		21.5	ton DM/ha/yr	0.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	510.0	219.0	409.0	229.0		5.0	
Stape et al., 2010	Brazil	Teixeira de. Freitas, BA	reported site	-18.0333333333	-39.8666666667	84.0	23.1	2921.0	21.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-12	2009		5.7	6.0		26.4	ton DM/ha/yr	0.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1715	yes	yes	total in the 6-year rotation	510.0	219.0	409.0	229.0		5.0	
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		11.3	ton DM/ha/yr	1.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	no								
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		15.9	ton DM/ha/yr	0.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	14.0	14.0	109.0	240.0	24.0		
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		16.4	ton DM/ha/yr	0.4	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	724.0	284.0	669.0	776.0	60.0		
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		21.7	ton DM/ha/yr	0.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1045	yes	yes	total in the 6-year rotation	14.0	14.0	109.0	240.0	24.0		
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		25.4	ton DM/ha/yr	0.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1045	yes	yes	total in the 6-year rotation	724.0	284.0	669.0	776.0	60.0		
