"names","long","lat","Label","inout"
"PTT",105.3941467,14.7689812,"PTT",1
"PTT Gas station",105.3077155,15.1667016,"PTT",1
"สน.ปตท. สหกรณ์การเกษตรเดชอุดมจำกัด",105.085045,14.888321,"PTT",1
"สน.ปตท. หจก. พรไพบูลย์ปิโตรเลียม",105.065736,14.897417,"PTT",1
"PTT",105.0582302,14.9115326,"PTT",1
"ปตท.บายพาสเดชอุดม",105.0576854,14.9114555,"PTT",1
"PTT",105.046402,14.9333545,"PTT",1
"PTT (Petroleum Oil (Ubon) Co.,Ltd.)",104.8551122,15.1625045,"PTT",1
"สน.ปตท. หจก. เพิ่มพูนเซอร์วิส",104.853029,15.23898,"PTT",1
"PTT",104.8374023,15.2936846,"PTT",1
"PTT Gas Station",104.819437,15.222769,"PTT",1
"สน.ปตท. หจก. พนมบริการ",104.793586,17.375749,"PTT",1
"Ran Mueang Gas PTT.",104.7836814,17.4020721,"PTT",1
"PTT",104.781435,17.396081,"PTT",1
"PTT",104.7531319,17.4389871,"PTT",1
"ปตท.",104.7528869,17.4392034,"PTT",1
"สน.ปตท. หจก.กุลศักดิ์วิมล",104.725366,16.947139,"PTT",1
"PTT gas station",104.6765927,15.6854136,"PTT",1
"PTT (Po Po Renu Nakhon Limited Partnership)",104.6749042,17.0549792,"PTT",1
"PTT",104.666805,17.3729181,"PTT",1
"PTT",104.6322012,15.816897,"PTT",1
"PTT (Siri Rungruang Service Limited Partnership)",104.6318425,15.8275959,"PTT",1
"ปั้ม ปตท ไก่คำ (ptt kai kham gas station)",104.6316728,15.8275572,"PTT",1
"PTT ปตท.โนนหนามแท่ง(ธีราสุข)",104.627408,15.93424,"PTT",1
"PTT",104.5967732,17.5729497,"PTT",1
"PTT",104.554971,15.388453,"PTT",1
"PTT petrol station.",104.4265599,16.5917525,"PTT",1
"PTT",104.146043,17.166858,"PTT",1
"PTT Life Station",104.1348147,17.1719535,"PTT",1
"PTT Gas Station CO. Wimonrat (1994).",104.1343079,17.1507626,"PTT",1
"PTT",104.1233667,17.1435494,"PTT",1
"PTT",104.1145124,17.182329,"PTT",1
"PTT station",104.0953406,17.1788329,"PTT",1
"PTT Gas Station",104.0902109,17.1350493,"PTT",1
"PTT",104.051697,17.2137017,"PTT",1
"PTT gas station.",104.0324096,16.7814457,"PTT",1
"PTT (Sang Kho Service Ltd.,Part.)",103.932851,16.862821,"PTT",1
"PTT gas station.",103.8251737,16.6068576,"PTT",1
"PTT",103.7546572,16.6920801,"PTT",1
"PTT",103.6955381,16.4588004,"PTT",1
"PTT (Saen Ngoen Service Limited Partnership)",103.6429861,16.7494073,"PTT",1
"Pine. PTT LTD., Kalasin Petroleum.",103.554841,16.471702,"PTT",1
"Ptt Gas Station",103.5452663,14.877816,"PTT",1
"PTT (Surin S.P.S.Petroleum Co.,Ltd.)",103.542818,14.84481,"PTT",1
"สน.ปตท. บจ.สุรินทร์เอส.พี.เอส.ปิโตรเลียม",103.542415,14.84519,"PTT",1
"PTT (Mung Charoen Service Limited Partnership)",103.5331655,14.8780728,"PTT",1
"สน.ปตท. บจก.สุรินทร์ พาวเวอร์พอยท์",103.5159732,14.9262424,"PTT",1
"PTT เจริญไชยบริการ",103.5063309,14.8733731,"PTT",1
"สน.ปตท. หจก. เจริญไชยบริการ",103.5060623,14.8731576,"PTT",1
"PTT Station หจก.เจริญไชยสุรินทร์บริการ",103.5037804,14.9014321,"PTT",1
"ปตท",103.5029278,14.9018893,"PTT",1
"PTT (Surin Provincial Siricharoen Panit Registered Ordinary Partnership)",103.488678,14.8805017,"PTT",1
"Ptt",103.4202041,14.8884497,"PTT",1
"PTT (Isan Service Registered Ordinary Partnership)",103.3454396,16.1630088,"PTT",1
"PTT (Krasang Agriculture Cooperative Limited)",103.2968559,14.9029831,"PTT",1
"PTT Gas Station, Isan Services (Branch 1)",103.27697,16.216484,"PTT",1
"PTT (Isan Service Limited Partnership)",103.2667275,16.1486724,"PTT",1
"PTT JATURAPAKSERMTHAI PET",103.1659379,16.045587,"PTT",1
"PTT petrol station",103.1431501,15.0227792,"PTT",1
"PTT (Wong Wikrom Petroleum Limited Partnership)",103.1422361,14.9250185,"PTT",1
"PTT",103.1360117,14.9322888,"PTT",1
"PTT (Chong Chu Wanit Limited Partnership)",103.1331407,16.0386665,"PTT",1
"สน.ปตท. หจก. จงชูวณิชย์",103.13301,16.038605,"PTT",1
"สถานี น้ำมัน PT สาขา บรบือ5",103.1308447,16.0535935,"PTT",1
"PTT Gas Station",103.128936,16.0517125,"PTT",1
"PT",103.1254492,15.0062037,"PTT",1
"สน.ปตท. บจ.เอ.บี.ปิโตรเลียม",103.113611,14.9886,"PTT",1
"PTT (Khwan Phattraporn Petroleum Company Limited)",103.1065124,14.9804718,"PTT",1
"Pine. PTT LTD., Pho light petroleum.",103.095875,16.048968,"PTT",1
"ปั๊มน้ำมัน ปตท. ไอโมบายสเตเดียม PTT Life Station",103.0957272,14.9636914,"PTT",1
"PTT Performa Shop",103.0954931,14.9638307,"PTT",1
"PTT (A.B.Petroleum Co.,Ltd.)",103.0688025,14.9745385,"PTT",1
"Pine. PTT LTD. Ruangchai Services (2011).",103.060466,16.250005,"PTT",1
"PTT gas station.",102.8979019,16.4248647,"PTT",1
"PTT",102.8588055,16.613822,"PTT",1
"PTT",102.8506302,16.4360743,"PTT",1
"Pine. PTT Plc. Big rich gas.",102.8443114,17.8927871,"PTT",1
"PTT Gas Station",102.841794,16.42981,"PTT",1
"สน.ปตท. บริษัท ขอนแก่นเซียมฮะ จำกัด",102.8411,16.448514,"PTT",1
"ปตท. มิตรภาพ ขอนแก่น",102.8321593,16.4905315,"PTT",1
"สถานีบริการ NGV ปตท. เทพประทานพรเอ็นเนอร์จี สาขาขอนแก่น",102.8320338,16.5254477,"PTT",1
"สน.ปตท. บจ.ไทยปรีดาการปิโตรเลียม",102.8319297,16.4529448,"PTT",1
"สถานีบริการนำ้มัน PTT Station สาขาเมืองขอนแก่น 2",102.8308856,16.4516562,"PTT",1
"สน.ปตท. บจก.พี.เอส.วาย. ขอนแก่น",102.830115,16.529509,"PTT",1
"LPG Service Station",102.8295342,16.5429549,"PTT",1
"PTT. Petrol Station",102.8265611,16.3903517,"PTT",1
"สน.ปตท. บจ.เค ที แก๊ส (2539)",102.8216329,16.4145195,"PTT",1
"PTT",102.8204807,16.4196443,"PTT",1
"สน.ปตท. สาขาสวัสดิการมหาวิทยาลัยขอนแก่น",102.8142519,16.4786214,"PTT",1
"PTT",102.804814,16.671476,"PTT",1
"PTT",102.8007909,17.543652,"PTT",1
"PTT",102.7917975,16.4455524,"PTT",1
"PTT Gas Station",102.7898393,17.9070395,"PTT",1
"PTT Petrol Station",102.787324,16.437405,"PTT",1
"PTT petrol station.",102.7679633,17.7678377,"PTT",1
"PTT",102.7612312,17.8052393,"PTT",1
"สน.ปตท. อำเภอเมืองหนองคาย (หจก.ตันเอี๊ยฮวด)",102.756518,17.88628,"PTT",1
"PTT (Smanchai Service Limited Partnership)",102.7498643,17.8602283,"PTT",1
"PTT Gas Station",102.7273624,17.859515,"PTT",1
"PTT",102.594783,17.95537,"PTT",1
"PTT gas station.",102.5631791,12.5372294,"PTT",1
"PTT (Yen Cham)",102.5427151,12.5592618,"PTT",1
"PTT gas station.",102.5409297,13.6600192,"PTT",1
"PTT",102.5297899,13.765278,"PTT",1
"PTT (Sahamit Paisan Company Limited)",102.5276681,13.7640925,"PTT",1
"PTT",102.5143413,16.8548861,"PTT",1
"สน.ปตท. หจก. ตราดเซอร์วิส(2002)",102.513395,12.247366,"PTT",1
"PTT",102.5133902,12.2473737,"PTT",1
"สน.ปตท. หจก. ไสวปิโตรเลียม",102.504824,12.226262,"PTT",1
"PTT",102.5047481,12.2262925,"PTT",1
"สน.ปตท.บจ.เติมเต็มปิโตรเลียม",102.502021,12.263156,"PTT",1
"PTT Station",102.5020015,12.2629889,"PTT",1
"สน.ปตท. สาขาอรัญประเทศ",102.499942,13.693724,"PTT",1
"PTT LPG Station แขวงการทางตราด",102.4774247,12.2975229,"PTT",1
"PTT Gasolin station",102.4760377,12.3018549,"PTT",1
"PTT Petrol Station",102.4758446,12.3022948,"PTT",1
"PTT gas station.",102.4408065,12.5118921,"PTT",1
"PTT",102.433465,17.1870795,"PTT",1
"PTT gas station.",102.4325494,12.4454203,"PTT",1
"PTT gas station.",102.4054582,12.404518,"PTT",1
"ปตท.ภูเวียง2",102.3885139,16.6344935,"PTT",1
"PTT gas station",102.3847756,16.6418646,"PTT",1
"Toilet at PTT",102.3788533,12.3791116,"PTT",1
"PTT Life Station",102.378431,12.37878,"PTT",1
"PTT",102.3761454,12.193793,"PTT",1
"PTT gas station.",102.3727329,12.5178144,"PTT",1
"PTT petrol station.",102.356548,16.4096338,"PTT",1
"PTT",102.3450229,12.3031957,"PTT",1
"PTT gas station.",102.3338379,13.5792443,"PTT",1
"PTT (Thanachart Service)",102.3333834,12.2029947,"PTT",1
"PTT (S.P.T View Group Ltd.,Part.)",102.320885,13.7449399,"PTT",1
"PTT",102.3129498,13.2246787,"PTT",1
"PTT Life Station",102.304479,13.458041,"PTT",1
"PTT (Jirapat Service)",102.3043982,13.458064,"PTT",1
"PTT gas station.",102.2979357,13.4542464,"PTT",1
"PTT gas station.",102.2966178,13.2736615,"PTT",1
"Gas station",102.2909479,16.9793045,"PTT",1
"Press PTT Sriboonruang",102.2641479,16.9556304,"PTT",1
"ปั๊ม ปตท. / PTT Petrol Station.",102.263825,12.9031,"PTT",1
"PTT gas station.",102.2625375,13.5359831,"PTT",1
"PTT (Weerawan Petroleum Limited Partnership)",102.2545199,14.5257069,"PTT",1
"Pine. PTT LTD., Undercut petroleum.",102.2288072,13.1079626,"PTT",1
